"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","noise_sd","n_pos","rep_id","sweep"
"GENIE3",0.463235294117647,0.217950373183865,0.181818181818182,0.264705882352941,-0.0828877005347594,0.363636363636364,NA,0.189999999999998,"ok",0.01,30,5,"noise"
"idopNetwork",0.583957219251337,0.382292582362855,0.352941176470588,0.2,0.152941176470588,0.352941176470588,0.571428571428571,61.7,"ok",0.01,30,6,"noise"
"WGCNA",0.474598930481283,0.255919650730385,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.529999999999973,"ok",0.01,30,6,"noise"
"GENIE3",0.572860962566845,0.285967067808214,0.318181818181818,0.220588235294118,0.0975935828877005,0.681818181818182,NA,0.160000000000025,"ok",0.01,30,6,"noise"
"idopNetwork",0.696969696969697,0.536571117823955,0.5,0.136363636363636,0.363636363636364,0.583333333333333,0.625,39.04,"ok",0.01,30,7,"noise"
"WGCNA",0.409090909090909,0.195545452643053,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.470000000000027,"ok",0.01,30,7,"noise"
"GENIE3",0.593582887700535,0.317322760020241,0.363636363636364,0.205882352941176,0.157754010695187,0.545454545454545,NA,0.189999999999998,"ok",0.01,30,7,"noise"
"idopNetwork",0.784090909090909,0.572083301608772,0.416666666666667,0.159090909090909,0.257575757575758,0.75,0.7,44.39,"ok",0.01,30,8,"noise"
"WGCNA",0.391711229946524,0.195842231277171,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.470000000000027,"ok",0.01,30,8,"noise"
"GENIE3",0.554144385026738,0.265222498705812,0.272727272727273,0.235294117647059,0.0374331550802139,0.590909090909091,NA,0.180000000000007,"ok",0.01,30,8,"noise"
"idopNetwork",0.775568181818182,0.453092607359607,0.5,0.136363636363636,0.363636363636364,0.666666666666667,0.666666666666667,38.36,"ok",0.01,30,9,"noise"
"WGCNA",0.371657754010695,0.18302427777058,0.0909090909090909,0.294117647058824,-0.203208556149733,NA,NA,0.430000000000007,"ok",0.01,30,9,"noise"
"GENIE3",0.532754010695187,0.257314581212251,0.227272727272727,0.25,-0.0227272727272727,0.636363636363636,NA,0.180000000000007,"ok",0.01,30,9,"noise"
"idopNetwork",0.638257575757576,0.319057787603871,0.416666666666667,0.159090909090909,0.257575757575758,0.583333333333333,0.428571428571429,35.79,"ok",0.01,30,10,"noise"
"WGCNA",0.50668449197861,0.25095655861517,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.449999999999989,"ok",0.01,30,10,"noise"
"GENIE3",0.523395721925134,0.241849195569146,0.227272727272727,0.25,-0.0227272727272727,0.454545454545455,NA,0.170000000000016,"ok",0.01,30,10,"noise"
"idopNetwork",0.774621212121212,0.423345132637556,0.416666666666667,0.159090909090909,0.257575757575758,0.75,0.636363636363636,41.27,"ok",0.01,30,11,"noise"
"WGCNA",0.495989304812834,0.231212465071157,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.470000000000027,"ok",0.01,30,11,"noise"
"GENIE3",0.605614973262032,0.359779455427015,0.318181818181818,0.220588235294118,0.0975935828877005,0.590909090909091,NA,0.169999999999959,"ok",0.01,30,11,"noise"
"idopNetwork",0.588068181818182,0.346223068834182,0.25,0.204545454545455,0.0454545454545455,0.333333333333333,0.4,27.08,"ok",0.01,30,12,"noise"
"WGCNA",0.470588235294118,0.220676125362239,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.470000000000027,"ok",0.01,30,12,"noise"
"GENIE3",0.446524064171123,0.227940631208778,0.181818181818182,0.264705882352941,-0.0828877005347594,0.318181818181818,NA,0.189999999999941,"ok",0.01,30,12,"noise"
"idopNetwork",0.648674242424243,0.335660668200713,0.5,0.136363636363636,0.363636363636364,0.583333333333333,0.571428571428571,53.8599999999999,"ok",0.01,30,13,"noise"
"WGCNA",0.479946524064171,0.247679125083803,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.590000000000032,"ok",0.01,30,13,"noise"
"GENIE3",0.446524064171123,0.202899065080745,0.181818181818182,0.264705882352941,-0.0828877005347594,0.454545454545455,NA,0.190000000000055,"ok",0.01,30,13,"noise"
"idopNetwork",0.589015151515151,0.265068526806966,0.333333333333333,0.181818181818182,0.151515151515152,0.5,0.5,30.13,"ok",0.01,30,14,"noise"
"WGCNA",0.5,0.236645110371915,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.42999999999995,"ok",0.01,30,14,"noise"
"GENIE3",0.582887700534759,0.291775395609045,0.272727272727273,0.235294117647059,0.0374331550802139,0.5,NA,0.210000000000036,"ok",0.01,30,14,"noise"
"idopNetwork",0.789772727272727,0.478533435957764,0.5,0.136363636363636,0.363636363636364,0.833333333333333,0.363636363636364,54.1900000000001,"ok",0.01,30,15,"noise"
"WGCNA",0.620320855614973,0.334937294881813,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.419999999999959,"ok",0.01,30,15,"noise"
"GENIE3",0.431149732620321,0.212099972120093,0.136363636363636,0.279411764705882,-0.143048128342246,0.363636363636364,NA,0.169999999999959,"ok",0.01,30,15,"noise"
"idopNetwork",0.660427807486631,0.380422502594457,0.470588235294118,0.163636363636364,0.306951871657754,0.529411764705882,0.4,131.36,"ok",0.01,30,16,"noise"
"WGCNA",0.586898395721925,0.266510789397381,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.440000000000055,"ok",0.01,30,16,"noise"
"GENIE3",0.606283422459893,0.318731651233539,0.363636363636364,0.205882352941176,0.157754010695187,0.681818181818182,NA,0.169999999999959,"ok",0.01,30,16,"noise"
"idopNetwork",0.665719696969697,0.396578085395799,0.416666666666667,0.159090909090909,0.257575757575758,0.5,0.666666666666667,57.5300000000001,"ok",0.01,30,17,"noise"
"WGCNA",0.381016042780749,0.189652983262223,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.439999999999941,"ok",0.01,30,17,"noise"
"GENIE3",0.477941176470588,0.216059171583125,0.181818181818182,0.264705882352941,-0.0828877005347594,0.454545454545455,NA,0.170000000000073,"ok",0.01,30,17,"noise"
"idopNetwork",0.727272727272727,0.487512769182908,0.416666666666667,0.159090909090909,0.257575757575758,0.583333333333333,0.5,23.3099999999999,"ok",0.01,30,18,"noise"
"WGCNA",0.385026737967914,0.190761872306004,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.470000000000027,"ok",0.01,30,18,"noise"
"GENIE3",0.546122994652406,0.251871337748363,0.227272727272727,0.25,-0.0227272727272727,0.545454545454545,NA,0.189999999999941,"ok",0.01,30,18,"noise"
