"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","rep_id","scenario"
"WGCNA",0.401069518716578,0.29339134270715,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.340000000000032,"ok",12,"LV"
"GENIE3",0.685828877005348,0.421825584428784,0.363636363636364,0.205882352941176,0.157754010695187,0.636363636363636,NA,0.129999999999995,"ok",12,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",12,"VAR1"
"WGCNA",0.590909090909091,0.332118719381091,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.330000000000041,"ok",12,"VAR1"
"GENIE3",0.468582887700535,0.210494863278792,0.136363636363636,0.279411764705882,-0.143048128342246,0.545454545454545,NA,0.110000000000014,"ok",12,"VAR1"
"idopNetwork",0.777462121212121,0.454980130950612,0.666666666666667,0.0909090909090909,0.575757575757576,0.583333333333333,0.333333333333333,48.9399999999999,"ok",13,"LV"
"WGCNA",0.517379679144385,0.275627002888482,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.400000000000091,"ok",13,"LV"
"GENIE3",0.651069518716578,0.330029824427568,0.363636363636364,0.205882352941176,0.157754010695187,0.590909090909091,NA,0.159999999999968,"ok",13,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: power_equation_fit 后物种数不足",13,"VAR1"
"WGCNA",0.517379679144385,0.293662896121202,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.329999999999927,"ok",13,"VAR1"
"GENIE3",0.438502673796791,0.202270487871481,0.136363636363636,0.279411764705882,-0.143048128342246,0.409090909090909,NA,0.110000000000014,"ok",13,"VAR1"
"idopNetwork",0.626893939393939,0.400271453691191,0.333333333333333,0.181818181818182,0.151515151515152,0.5,0.666666666666667,31.59,"ok",14,"LV"
"WGCNA",0.478609625668449,0.277658178363074,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.350000000000023,"ok",14,"LV"
"GENIE3",0.610294117647059,0.27438829794464,0.272727272727273,0.235294117647059,0.0374331550802139,0.363636363636364,NA,0.139999999999986,"ok",14,"LV"
"idopNetwork",0.722222222222222,0.410792505152387,0.666666666666667,0.111111111111111,0.555555555555556,0.666666666666667,0.5,6.12,"ok",14,"VAR1"
"WGCNA",0.592245989304813,0.320348017086961,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.329999999999927,"ok",14,"VAR1"
"GENIE3",0.546791443850267,0.247493638007715,0.227272727272727,0.25,-0.0227272727272727,0.545454545454545,NA,0.129999999999995,"ok",14,"VAR1"
"idopNetwork",0.758522727272727,0.418481682206746,0.416666666666667,0.159090909090909,0.257575757575758,0.75,0.545454545454545,44.12,"ok",15,"LV"
"WGCNA",0.442513368983957,0.33794623726915,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.350000000000136,"ok",15,"LV"
"GENIE3",0.695855614973262,0.35032126942266,0.318181818181818,0.220588235294118,0.0975935828877005,0.681818181818182,NA,0.139999999999873,"ok",15,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",15,"VAR1"
"WGCNA",0.582887700534759,0.317280346625699,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.330000000000155,"ok",15,"VAR1"
"GENIE3",0.524732620320856,0.245917516393275,0.318181818181818,0.220588235294118,0.0975935828877005,0.5,NA,0.1099999999999,"ok",15,"VAR1"
"idopNetwork",0.647727272727273,0.312095085865024,0.25,0.204545454545455,0.0454545454545455,0.583333333333333,0.75,67,"ok",16,"LV"
"WGCNA",0.478609625668449,0.360150155696575,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.339999999999918,"ok",16,"LV"
"GENIE3",0.699197860962567,0.427115811537943,0.363636363636364,0.205882352941176,0.157754010695187,0.681818181818182,NA,0.1400000000001,"ok",16,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",16,"VAR1"
"WGCNA",0.529411764705882,0.245747605248636,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.330000000000155,"ok",16,"VAR1"
"GENIE3",0.522058823529412,0.243282834108769,0.272727272727273,0.235294117647059,0.0374331550802139,0.590909090909091,NA,0.0899999999999181,"ok",16,"VAR1"
"idopNetwork",0.786931818181818,0.458220547482609,0.416666666666667,0.159090909090909,0.257575757575758,0.833333333333333,0.636363636363636,59.48,"ok",17,"LV"
"WGCNA",0.5,0.286597464063272,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.329999999999927,"ok",17,"LV"
"GENIE3",0.728609625668449,0.418987219475616,0.454545454545455,0.176470588235294,0.27807486631016,0.636363636363636,NA,0.1400000000001,"ok",17,"LV"
"idopNetwork",NA,NA,NA,0,NA,NA,NA,13.4100000000001,"ok",17,"VAR1"
"WGCNA",0.526737967914438,0.250926408470023,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.339999999999918,"ok",17,"VAR1"
"GENIE3",0.501336898395722,0.237496508453164,0.318181818181818,0.220588235294118,0.0975935828877005,0.590909090909091,NA,0.0899999999999181,"ok",17,"VAR1"
"idopNetwork",0.59469696969697,0.359776680820067,0.25,0.204545454545455,0.0454545454545455,0.416666666666667,0.666666666666667,31.5,"ok",18,"LV"
"WGCNA",0.498663101604278,0.257279977068394,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.360000000000127,"ok",18,"LV"
"GENIE3",0.689839572192513,0.322827532300524,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.119999999999891,"ok",18,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",18,"VAR1"
"WGCNA",0.521390374331551,0.228534485116777,0.0909090909090909,0.294117647058824,-0.203208556149733,NA,NA,0.339999999999918,"ok",18,"VAR1"
"GENIE3",0.405748663101604,0.196145463200073,0.136363636363636,0.279411764705882,-0.143048128342246,0.318181818181818,NA,0.0899999999999181,"ok",18,"VAR1"
"idopNetwork",0.653475935828877,0.459505373514706,0.470588235294118,0.163636363636364,0.306951871657754,0.470588235294118,0.666666666666667,45.5200000000002,"ok",19,"LV"
"WGCNA",0.455882352941176,0.240243911825329,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.339999999999918,"ok",19,"LV"
"GENIE3",0.685160427807487,0.354635263995686,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.139999999999873,"ok",19,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",19,"VAR1"
"WGCNA",0.548128342245989,0.297142072537492,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.370000000000118,"ok",19,"VAR1"
"GENIE3",0.453877005347594,0.252596701298469,0.318181818181818,0.220588235294118,0.0975935828877005,0.318181818181818,NA,0.1099999999999,"ok",19,"VAR1"
"idopNetwork",0.689393939393939,0.340758706101259,0.5,0.136363636363636,0.363636363636364,0.5,0.25,56.24,"ok",20,"LV"
"WGCNA",0.467914438502674,0.350881895446254,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.339999999999918,"ok",20,"LV"
"GENIE3",0.744652406417112,0.430783208061306,0.409090909090909,0.191176470588235,0.217914438502674,0.636363636363636,NA,0.1400000000001,"ok",20,"LV"
"idopNetwork",0.45,0.203907542196663,0.2,0.25,-0.05,0.1,0.5,25.8899999999999,"ok",20,"VAR1"
